p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
134 5.87922199753513e-212 1.84120590854978 0.673 0.247 9.24684035772326e-208 1 Gcnt1
135 4.69057773404735e-209 2.0896867833531 0.568 0.162 7.37734066010968e-205 1 Cacnb2
136 1.10007552116126e-205 2.43848291440396 0.476 0.117 1.73019877968243e-201 1 Cap2
137 2.17298643610775e-205 1.52007193837809 0.808 0.369 3.41767306671028e-201 1 Myo5c
138 7.87909219160433e-202 1.59613733019824 0.871 0.476 1.23922361989553e-197 1 Fmo3
139 2.34342543221441e-199 2.15770008747218 0.453 0.104 3.68573951978683e-195 1 Atp7b
140 3.34154798997075e-199 1.83728443704272 0.84 0.419 5.255586678626e-195 1 Bmpr1b
141 6.73246136785806e-199 1.70115913694732 0.538 0.149 1.05888152393671e-194 1 Plch1
142 3.8949698096707e-198 1.91232172990309 0.326 0.049 6.12600851665007e-194 1 Sftpa1
143 2.50394550220793e-194 1.76515852546162 0.412 0.087 3.93820548587263e-190 1 AU021092
144 9.69346002552717e-192 1.52325720312226 0.664 0.244 1.52458739281491e-187 1 BC030870
145 7.00295252568775e-191 1.5042893046076 0.848 0.485 1.10142437324017e-186 1 Ahcyl2
146 6.50478181270619e-188 1.72426264383688 0.82 0.47 1.02307208350243e-183 1 Aox3
147 1.15416400595855e-187 1.7867809672936 0.679 0.276 1.81526914857161e-183 1 Trim3
148 1.65528260988748e-185 1.78589247150873 0.808 0.416 2.60342848883102e-181 1 Abcc4
149 2.17306404989915e-184 2.82268555344469 0.396 0.087 3.41779513768138e-180 1 Atp13a5
150 8.65341772742991e-184 1.78226717039585 0.453 0.113 1.36100954017018e-179 1 Lzts3
151 2.23926357373257e-178 1.73767554042993 0.868 0.475 3.52191374876658e-174 1 Rad51b
152 1.99807513872008e-176 1.75167230877667 0.665 0.26 3.14257257817894e-172 1 Iqsec1
153 1.23352382781782e-175 2.22163790508797 0.464 0.127 1.94008627639187e-171 1 Samd4
154 4.12055047282075e-173 1.51431687456307 0.832 0.438 6.48080178365247e-169 1 Wdr72
155 1.55837011287397e-172 1.66105969065969 0.751 0.343 2.45100451352819e-168 1 Pclo
156 1.03853641902552e-168 1.58974113575707 0.642 0.241 1.63341007984334e-164 1 Arhgef38
157 2.40524095507669e-167 2.75625208910134 0.318 0.058 3.78296297414461e-163 1 Cyp4f15
